Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
735,Valea Ramnicului (BZ),5786,5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5771,1,1,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0
736,Valea Salciei (BZ),870,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,855,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
737,Vernesti (BZ),8698,8645,1,48,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8591,4,1,0,1,7,77,3,0,2,0,1,0,6,0,0,0,3,2
738,Vintila Voda (BZ),3416,3402,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3411,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0
739,Viperesti (BZ),3640,3559,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3523,2,0,0,0,0,55,0,0,16,0,0,44,0,0,0,0,0,0
740,Zarnesti (BZ),5531,5039,2,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
741,Ziduri (BZ),4800,4616,1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529,1,1,0,0,0,264,0,0,0,0,0,0,0,0,0,3,1,1
742,Reºiþa municipiul / Resicabánya municípium (CS),84026,74584,3034,1729,445,2696,20,10,0,580,102,27,535,5,37,140,6,19,2,1,2,48,4,70861,6514,1089,1784,986,1788,187,7,10,44,42,41,53,55,41,266,90,80,88
743,Caransebeº municipiul / Karánsebes municípium (CS),28301,26074,336,569,608,530,5,2,1,36,10,3,3,4,2,103,2,8,1,0,0,3,1,24631,1377,113,636,131,1183,75,4,2,10,3,8,5,4,10,80,11,6,12
744,Anina o. / Anina város (CS),9167,7992,200,82,29,763,0,1,0,22,5,3,13,1,1,33,4,2,0,0,0,10,6,6825,1252,54,559,50,276,25,0,0,29,11,14,23,9,1,9,9,3,18
745,Bãile Herculane o. / Herkulesfürdõ város (CS),6019,5834,51,67,3,28,0,0,0,7,0,0,5,0,2,18,0,1,0,0,0,3,0,5730,135,18,27,28,52,1,4,0,6,0,1,0,0,2,11,0,4,0
746,Bocºa o. / Boksánbánya város (CS),16911,15041,596,643,28,432,5,1,0,61,64,7,9,0,1,17,1,0,0,0,0,2,3,12992,1195,137,1221,126,968,42,3,1,32,9,11,19,17,6,79,33,5,15
747,Moldova Nouã o. / Újmoldova város (CS),13917,11239,248,278,12,33,4,7,0,1928,11,2,0,0,0,146,5,1,0,2,0,1,0,12301,556,44,284,51,623,15,7,2,0,0,3,2,0,0,13,8,5,3
748,Oraviþa o. / Oravicabánya város (CS),12858,11972,155,376,15,222,1,1,0,84,2,1,5,0,0,17,4,0,0,0,0,3,0,11233,573,59,257,247,333,83,1,4,22,14,3,4,1,0,12,9,3,0
749,Oþelu Roºu o. / Nándorhegy város (CS),11749,10596,476,98,37,476,1,2,0,8,17,1,1,1,5,3,1,20,0,0,0,5,1,9011,1334,114,559,66,518,42,1,2,9,5,4,8,0,5,54,5,3,9
750,Armeniº c. / Örményes község (CS),2718,2691,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2515,8,1,3,0,113,0,0,0,0,0,0,0,0,0,74,0,0,4
751,Bãnia c. / Bánya község (CS),2014,1959,1,49,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,1,0,0,0,177,0,0,0,7,0,0,0,0,0,0,0,0,1
752,Bãuþar c. / Alsóbaucár község (CS),2813,2781,7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,4,0,57,312,334,0,0,0,1,2,0,0,0,0,3,0,0,13
753,Berliºte c. / Berlistye község (CS),1358,1186,2,162,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,0,1275,2,1,11,2,64,0,0,0,0,0,0,0,0,0,2,1,0,0
754,Berzasca c. / Berszászka község (CS),3123,2203,9,109,7,8,2,0,0,336,0,0,0,3,0,445,0,0,0,0,0,1,0,2586,486,1,29,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
