"JUD" "DEN_JUD" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ASOCIAÞIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT." "FEDERAÞIA COMUNITÃÞILOR EVREIEªTI DIN ROMÂNIA" "UNIUNEA POLONEZILOR DIN ROMÂNIA" "ASOCIAÞIA LIGA ALBANEZILOR DIN ROMÂNIA" "COMUNITATEA RUªILOR LIPOVENI DIN ROMÂNIA" "UNIUNEA DEMOCRATICÃ A SLOVACILOR ªI CEHILOR DIN ROMÂNIA" "UNIUNEA UCRAINENILOR DIN ROMÂNIA" "UNIUNEA BULGARÃ DIN BANAT - ROMÂNIA" "FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA" "ASOCIAÞIA PARTIDA ROMILOR PRO-EUROPA" "UNIUNEA CROAÞILOR DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ TURCÃ DIN ROMÂNIA" "UNIUNEA ELENÃ DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ A TÃTARILOR TURCO-MUSULMANI DIN ROMÂNIA" "UNIUNEA ARMENILOR DIN ROMÂNIA" "UNIUNEA CULTURALÃ A RUTENILOR DIN ROMÂNIA" "ASOCIAÞIA MACEDONENILOR DIN ROMÂNIA" "UNIUNEA SÂRBILOR DIN ROMÂNIA" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL ALIANÞA SOCIALISTÃ" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "BIHOR_ 5_NOANE GHEORGHE-VIOREL" "BRAªOV_ 1_HUTOPILÃ VIOLETA" "CLUJ_ 1_ALEXA LIVIU-DORU-ALIN" "DÂMBOVIÞA_ 8_PETRE IONEL" "HUNEDOARA_ 2_POPA GHEORGHE-GABRIEL" "IAªI_ 6_RAªCU BENONI" "OLT_ 3_DRÃGHICESCU DRAGOª-NICOLAE" "OLT_ 2_STAN NICOLAE" "TIMIª_ 4_GOCIU ADRIAN" "Mun. BUCUREªTI_16_PIPEREA GHEORGHE" "Mun. BUCUREªTI_17_FILIP CONSTANTIN"
24 "IAªI" 690193 684182 4332 1679 263625 257726 4328 1571 763041 499343 251339 8804 3434 158515 326 38581 2497 37875 373 359 396 916 869 372 476 412 1219 627 363 153 748 201 521 193 965 137 0 3608 85 0 0 74 0 0 0 0 0 0 478 0 0 0 0 0
25 "ILFOV" 287790 284506 2975 309 122088 118805 2975 308 313300 191214 117412 3653 976 82886 175 13827 1722 16121 57 77 65 153 49 40 43 76 270 398 65 182 105 85 111 39 180 91 0 0 0 595 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MARAMUREª" 429751 426653 2524 574 142674 139600 2512 562 471098 328426 138029 3681 926 76449 8682 26496 0 19249 138 139 52 185 29 86 482 106 365 164 94 82 79 104 97 231 262 80 0 4378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 "MEHEDINÞI" 244174 239979 1918 2277 119789 115703 1917 2169 268577 148788 116065 2904 820 74771 327 21067 2096 14922 145 129 76 102 37 107 46 92 210 306 51 68 124 61 109 45 127 155 0 792 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0
42 "Mun. BUCUREªTI" 1794470 1787918 5495 1057 719971 713445 5487 1039 1944315 1224405 700351 17182 2256 457288 2110 137460 15750 65858 760 1180 351 380 504 166 186 613 2253 1311 234 348 648 272 1996 127 466 281 0 8055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1084 670
28 "MUREª" 484889 479309 3496 2084 201836 196307 3496 2033 534301 332466 193290 5710 2831 74398 66447 22499 1859 16833 244 333 180 250 110 170 249 182 880 1410 210 209 191 199 260 102 260 131 5610 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
29 "NEAMÞ" 475051 470157 3991 903 193830 188962 3984 884 522229 328406 185269 6735 1808 114907 317 31872 3896 25020 180 172 77 353 285 78 69 186 386 282 45 113 163 79 149 65 159 109 0 3516 0 2791 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30 "OLT" 389866 382991 3992 2883 188284 181526 3987 2771 425006 236740 181730 4851 1684 119974 235 13683 3209 38959 121 184 106 117 132 58 56 164 319 435 109 157 148 100 178 78 424 57 0 0 154 0 0 0 0 0 0 0 0 0 0 38 2535 0 0 0
31 "PRAHOVA" 684390 678747 4261 1382 321985 316368 4261 1356 750424 428496 310695 8933 2292 181641 409 77135 3575 41370 328 224 185 167 113 119 69 204 933 853 148 213 1005 74 360 86 230 160 0 458 0 92 544 0 0 0 0 0 0 0 0 0 0 0 0 0
32 "SATU MARE" 318042 314552 2312 1178 118707 115249 2312 1146 350020 231313 114711 2836 1160 45334 37883 17057 0 8834 118 144 24 62 13 226 123 154 862 433 37 51 248 70 74 174 98 56 2636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33 "SÃLAJ" 202402 199863 1445 1094 85732 83211 1445 1076 220961 135229 82726 1949 1057 33084 18498 13593 0 13366 69 101 45 99 28 345 111 169 339 452 95 62 81 39 81 102 277 87 1603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34 "SIBIU" 372113 369605 1818 690 138233 135756 1818 659 414191 275958 133183 3891 1159 68912 2714 28326 0 17852 103 165 107 187 90 109 163 116 10730 546 87 83 119 76 119 74 240 47 0 1898 0 320 0 0 0 0 0 0 0 0 0 0 0 0 0 0
43 "Strainatate (CE. 43)" 61014 0 61014 0 60878 0 60878 0 447317 386345 60044 590 244 16686 1154 25600 1159 13491 143 202 16 21 70 44 51 65 314 106 19 34 67 49 164 18 50 40 0 443 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0
35 "SUCEAVA" 580014 574789 4262 963 226060 220873 4258 929 634049 407993 217483 6491 2079 129220 369 50318 4157 25711 206 157 2664 136 335 111 599 127 701 213 109 170 124 98 288 91 394 169 0 279 143 594 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 "TELEORMAN" 342629 334028 3971 4630 186295 177764 3969 4562 374660 188365 179290 4983 2022 133388 288 20065 756 21781 198 167 93 210 76 71 83 152 275 203 107 137 290 108 197 114 273 50 0 0 25 0 183 0 0 0 0 0 0 0 0 0 0 0 0 0
37 "TIMIª" 611044 605900 3519 1625 196079 191016 3508 1555 672096 476073 190959 4133 897 107473 5943 39715 3079 25316 77 234 52 176 82 221 597 2420 2108 192 99 185 103 34 541 105 131 1698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 378 0 0
38 "TULCEA" 205855 204256 901 698 77032 75497 901 634 226077 149045 73710 2424 896 42976 164 11176 569 14518 130 61 40 122 1759 58 222 68 157 181 69 393 392 206 225 26 141 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 "VASLUI" 369568 365024 3661 883 142933 138440 3649 844 402827 259907 135889 5079 1943 85335 1142 23148 0 20449 220 491 192 402 158 99 74 211 486 555 85 214 218 156 148 149 467 56 0 0 0 1434 0 0 0 0 0 0 0 0 0 0 0 0 0 0
40 "VÂLCEA" 343407 339655 2895 857 154043 150320 2894 829 376022 221992 147367 4875 1785 97169 415 21020 2909 22401 221 121 247 159 53 120 121 99 357 480 167 86 102 86 166 47 179 46 0 0 499 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41 "VRANCEA" 321195 316228 2584 2383 124658 119795 2577 2286 350309 225653 118351 4353 1951 77636 150 15069 0 19069 263 136 96 99 123 412 176 278 492 778 83 98 186 213 334 214 253 535 0 1501 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0
