"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
26 "MARAMUREª" 1 "SENAT" 149368 148584 723 61 46824 46041 723 60 163597 116773 45380 1143 297 25322 3277 9422 0 4354 1012 1993 0 0 0 0 0 0
26 "MARAMUREª" 2 "SENAT" 122318 121103 860 355 43502 42307 848 347 135288 91786 42174 765 549 23847 2228 8144 0 6050 814 1091 0 0 0 0 0 0
26 "MARAMUREª" 3 "SENAT" 158065 156966 941 158 52348 51252 941 155 172600 120254 50545 1189 608 32185 1396 6323 0 8248 614 1779 0 0 0 0 0 0
27 "MEHEDINÞI" 1 "SENAT" 125613 124770 706 137 60062 59220 706 136 138327 78265 58567 1265 230 34852 221 14843 1013 6985 0 653 0 0 0 0 0 0
27 "MEHEDINÞI" 2 "SENAT" 118561 115209 1212 2140 59727 56483 1211 2033 130342 70615 57900 1111 716 40344 151 7685 1053 8311 0 356 0 0 0 0 0 0
28 "MUREª" 1 "SENAT" 127541 126882 530 129 58662 58004 530 128 141547 82886 57410 1014 237 19925 22888 8611 1183 2004 2799 0 0 0 0 0 0 0
28 "MUREª" 2 "SENAT" 112038 109815 947 1276 47849 45671 947 1231 122913 75064 46028 969 852 8649 30144 1691 734 2125 2685 0 0 0 0 0 0 0
28 "MUREª" 3 "SENAT" 129535 128226 1020 289 48486 47181 1020 285 142824 94339 46430 1269 786 22536 7992 7568 0 7448 886 0 0 0 0 0 0 0
28 "MUREª" 4 "SENAT" 115775 114386 999 390 46839 45451 999 389 127023 80184 44846 1210 782 24153 6495 5488 1204 6723 783 0 0 0 0 0 0 0
29 "NEAMÞ" 1 "SENAT" 180285 178582 1383 320 72020 70330 1378 312 198324 126311 68589 2585 830 41089 172 11613 1647 11458 0 2032 0 0 578 0 0 0
29 "NEAMÞ" 2 "SENAT" 182923 181041 1417 465 75387 73515 1417 455 201421 126034 72379 1865 1143 45246 171 13361 1714 8791 0 2265 0 0 831 0 0 0
29 "NEAMÞ" 3 "SENAT" 111843 110534 1191 118 46423 45117 1189 117 122492 76070 44541 1359 521 30328 92 4485 1227 7051 0 759 0 0 599 0 0 0
30 "OLT" 1 "SENAT" 120397 118728 1132 537 56814 55151 1132 531 131678 74866 54457 1506 848 40355 165 3489 1519 8929 0 0 0 0 0 0 0 0
30 "OLT" 2 "SENAT" 163677 160565 1948 1164 80164 77081 1948 1135 177895 97731 77479 1667 1018 49778 150 7071 1854 18626 0 0 0 0 0 0 0 0
30 "OLT" 3 "SENAT" 105792 103698 912 1182 51306 49294 907 1105 114953 63645 49213 1135 958 32297 83 3633 924 12276 0 0 0 0 0 0 0 0
