"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ASOCIAÞIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT." "FEDERAÞIA COMUNITÃÞILOR EVREIEªTI DIN ROMÂNIA" "UNIUNEA POLONEZILOR DIN ROMÂNIA" "ASOCIAÞIA LIGA ALBANEZILOR DIN ROMÂNIA" "COMUNITATEA RUªILOR LIPOVENI DIN ROMÂNIA" "UNIUNEA DEMOCRATICÃ A SLOVACILOR ªI CEHILOR DIN ROMÂNIA" "UNIUNEA UCRAINENILOR DIN ROMÂNIA" "UNIUNEA BULGARÃ DIN BANAT - ROMÂNIA" "FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA" "ASOCIAÞIA PARTIDA ROMILOR PRO-EUROPA" "UNIUNEA CROAÞILOR DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ TURCÃ DIN ROMÂNIA" "UNIUNEA ELENÃ DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ A TÃTARILOR TURCO-MUSULMANI DIN ROMÂNIA" "UNIUNEA ARMENILOR DIN ROMÂNIA" "UNIUNEA CULTURALÃ A RUTENILOR DIN ROMÂNIA" "ASOCIAÞIA MACEDONENILOR DIN ROMÂNIA" "UNIUNEA SÂRBILOR DIN ROMÂNIA" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL ALIANÞA SOCIALISTÃ" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "BIHOR_ 5_NOANE GHEORGHE-VIOREL" "BRAªOV_ 1_HUTOPILÃ VIOLETA" "CLUJ_ 1_ALEXA LIVIU-DORU-ALIN" "DÂMBOVIÞA_ 8_PETRE IONEL" "HUNEDOARA_ 2_POPA GHEORGHE-GABRIEL" "IAªI_ 6_RAªCU BENONI" "OLT_ 3_DRÃGHICESCU DRAGOª-NICOLAE" "OLT_ 2_STAN NICOLAE" "TIMIª_ 4_GOCIU ADRIAN" "Mun. BUCUREªTI_16_PIPEREA GHEORGHE" "Mun. BUCUREªTI_17_FILIP CONSTANTIN"
4 "BACÃU" 2 "CAMERA DEPUTATILOR" 58387 58178 184 25 22558 22350 183 25 65919 43361 21829 646 79 13045 39 3701 514 3051 15 45 17 15 12 11 8 38 63 33 4 19 18 10 111 6 21 5 0 1028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 3 "CAMERA DEPUTATILOR" 69726 69258 428 40 24227 23763 428 36 76900 52673 23241 774 209 12911 46 4412 0 4466 16 34 27 31 16 14 31 52 41 58 15 20 35 27 38 8 29 14 0 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 4 "CAMERA DEPUTATILOR" 61928 61425 479 24 21206 20703 479 24 68001 46795 20188 764 251 13229 60 1762 0 4173 26 24 43 32 17 18 21 73 60 64 48 26 28 18 22 16 23 14 0 391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 5 "CAMERA DEPUTATILOR" 50201 49539 443 219 21389 20773 443 173 54998 33609 20144 688 555 10976 28 2467 0 5593 18 29 51 49 19 20 17 65 91 65 56 53 40 33 22 19 22 21 0 390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 6 "CAMERA DEPUTATILOR" 60661 60114 487 60 23568 23022 487 59 66428 42860 22748 647 173 13428 38 5543 293 2542 5 37 12 14 7 9 18 13 45 24 9 28 30 11 23 9 36 6 0 568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 7 "CAMERA DEPUTATILOR" 66731 66115 527 89 27981 27365 527 89 73100 45119 26761 939 280 17596 41 1860 0 5990 27 40 58 29 19 10 35 75 62 133 26 41 21 16 29 21 19 21 0 592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 8 "CAMERA DEPUTATILOR" 54280 53556 436 288 20744 20022 436 286 59038 38294 19778 592 374 13474 372 1050 0 4163 12 25 32 39 20 12 16 58 49 33 36 42 23 19 17 22 29 12 0 223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 9 "CAMERA DEPUTATILOR" 61181 60722 345 114 25078 24623 345 110 67101 42023 24059 769 250 16051 56 2243 0 4955 12 25 31 25 13 8 19 51 43 30 30 25 23 12 52 10 13 13 0 319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "BACÃU" 10 "CAMERA DEPUTATILOR" 57275 56306 875 94 20929 19960 875 94 62411 41482 19753 802 374 12438 130 1842 0 4507 20 29 44 30 26 8 15 64 59 107 38 33 33 24 21 17 31 17 0 220 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 1 "CAMERA DEPUTATILOR" 55960 55191 467 302 23126 22358 467 301 61004 37877 22211 593 322 4908 11639 829 0 2410 24 11 14 45 10 573 40 16 57 89 11 12 17 41 14 14 47 32 1358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 2 "CAMERA DEPUTATILOR" 56267 55759 326 182 21622 21116 326 180 61726 40105 20700 619 302 5184 10323 1361 0 1505 30 9 14 47 4 71 28 10 97 127 19 22 21 44 20 13 65 26 1660 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 3 "CAMERA DEPUTATILOR" 54784 53962 547 275 25197 24402 539 256 60086 34889 24269 653 273 14548 1714 2695 387 3366 19 7 16 85 5 1055 7 18 63 50 40 11 20 26 27 16 72 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 4 "CAMERA DEPUTATILOR" 55098 54282 507 309 29115 28303 507 305 61065 31947 28337 572 206 18311 675 5510 663 2628 38 7 14 67 3 91 18 13 59 18 16 13 11 23 26 19 95 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 5 "CAMERA DEPUTATILOR" 44497 43766 384 347 20188 19470 384 334 49330 29139 19435 464 288 10708 1125 3232 368 2491 20 10 33 61 5 48 7 20 68 58 34 29 7 15 36 10 75 30 0 0 0 0 0 0 0 945 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 6 "CAMERA DEPUTATILOR" 50970 50251 357 362 20544 19826 357 361 55566 35022 19817 467 260 10310 3778 2361 0 2466 9 17 9 60 5 76 9 9 53 56 27 17 11 20 23 12 40 14 435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 7 "CAMERA DEPUTATILOR" 56031 55752 264 15 20356 20077 264 15 62100 41739 19947 278 128 11971 2449 2664 386 1393 10 44 5 14 2 110 2 12 81 31 4 3 6 11 7 6 11 8 717 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 8 "CAMERA DEPUTATILOR" 65723 65462 241 20 25905 25644 241 20 72108 46207 25418 377 92 14048 4580 3124 440 1713 20 49 5 16 9 153 2 9 81 12 2 0 5 8 8 3 11 6 1114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "BIHOR" 9 "CAMERA DEPUTATILOR" 67314 67049 248 17 26863 26598 248 17 75657 48791 26343 437 82 14882 4125 3782 437 1464 16 63 5 6 9 138 7 9 79 19 3 1 15 4 20 9 16 11 1223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 1 "CAMERA DEPUTATILOR" 79702 79113 553 36 29224 28635 553 36 84670 55446 28582 517 125 16250 1361 6641 0 2805 85 33 13 49 11 8 17 28 160 53 8 4 8 26 25 11 31 10 0 945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 2 "CAMERA DEPUTATILOR" 63668 62546 556 566 27049 25942 551 556 71039 43991 25966 645 437 14105 2595 5838 0 2043 125 58 71 68 39 13 44 64 296 96 33 23 11 20 30 23 55 27 0 289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 3 "CAMERA DEPUTATILOR" 63557 63064 441 52 23922 23429 441 52 69694 45772 22995 628 298 10631 325 8377 290 2075 49 108 46 47 36 19 19 35 209 71 48 36 24 37 30 19 66 23 0 375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "BISTRIÞA-NÃSÃUD" 4 "CAMERA DEPUTATILOR" 56004 55421 464 119 20943 20362 464 117 62213 41272 19908 667 366 11128 418 3850 0 3174 96 47 51 76 42 43 42 74 222 101 32 18 18 12 31 28 59 21 0 325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 1 "CAMERA DEPUTATILOR" 61309 60824 428 57 23444 22959 428 57 66856 43412 22215 844 385 14829 48 2607 306 3679 23 45 12 44 23 16 9 38 136 55 14 52 15 27 30 19 73 15 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 2 "CAMERA DEPUTATILOR" 69765 69043 474 248 27816 27095 474 247 76052 48235 26981 613 222 19915 40 2335 350 3581 22 44 17 39 27 12 57 14 67 38 5 29 10 19 24 8 41 10 0 277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 3 "CAMERA DEPUTATILOR" 63381 62650 491 240 27929 27213 491 225 69043 41117 26814 780 332 18080 35 1843 339 5660 31 35 19 28 28 27 11 16 59 51 11 39 8 26 23 11 63 12 0 359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 4 "CAMERA DEPUTATILOR" 52428 51593 510 325 23196 22385 510 301 57001 33805 22316 630 248 16053 63 2527 212 2907 16 41 14 32 34 25 10 17 74 41 15 44 9 23 22 10 64 8 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 5 "CAMERA DEPUTATILOR" 62760 62432 299 29 24923 24595 299 29 69204 44281 24167 658 98 16552 86 3157 408 3109 21 23 18 11 52 6 12 7 35 25 5 22 13 11 21 6 28 8 0 531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "BOTOªANI" 6 "CAMERA DEPUTATILOR" 57793 57470 271 52 23062 22740 271 51 63050 39988 22235 677 145 14888 65 3082 372 3062 25 32 8 14 65 9 23 12 50 41 8 21 15 13 21 3 30 5 0 371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 1 "CAMERA DEPUTATILOR" 65889 65188 579 122 23909 23208 579 122 72005 48096 23074 691 144 12969 370 4364 619 2585 20 10 4 8 6 16 4 16 184 199 15 16 27 7 6 11 26 16 0 593 0 0 0 0 0 0 983 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 2 "CAMERA DEPUTATILOR" 65554 64997 404 153 27876 27323 404 149 71796 43926 26443 1093 334 13509 3617 4038 631 3517 15 14 8 19 16 12 19 27 326 72 14 34 38 16 19 10 50 16 0 406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 3 "CAMERA DEPUTATILOR" 68548 67914 487 147 27403 26769 487 147 75083 47681 25928 1059 411 13983 2566 3934 636 3540 39 20 5 15 20 19 24 22 308 241 18 40 53 16 12 13 36 24 0 344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 4 "CAMERA DEPUTATILOR" 66313 65686 562 65 27405 26780 561 64 72303 44900 26283 906 214 16943 250 3633 680 2917 41 19 9 12 8 11 13 22 299 63 17 30 49 15 27 22 50 28 0 1125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "BRAªOV" 5 "CAMERA DEPUTATILOR" 61807 61577 167 63 28819 28591 167 61 68007 39188 28037 676 97 15579 2345 6027 692 1520 17 40 9 6 10 4 12 12 916 25 4 10 56 7 31 8 37 11 0 659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
