"JUD" "DEN_JUD" "DEN_CIRC" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
2 "ARAD" "CÃRAND" 981 976 2 3 410 405 2 3 1060 650 392 10 8 188 5 137 0 62 0 0 0 0 0 0 0 0
2 "ARAD" "CERMEI" 2273 2265 6 2 850 842 6 2 2490 1640 831 11 8 419 24 256 0 119 5 8 0 0 0 0 0 0
2 "ARAD" "CHISINDIA" 1191 1170 19 2 580 559 19 2 1300 720 564 12 4 285 0 245 0 33 0 1 0 0 0 0 0 0
2 "ARAD" "CONOP" 1838 1811 27 0 841 814 27 0 2010 1169 815 18 8 399 9 225 0 172 2 8 0 0 0 0 0 0
2 "ARAD" "COVÃSINÞ" 2095 2081 2 12 542 528 2 12 2320 1778 514 24 4 197 3 203 0 102 1 8 0 0 0 0 0 0
2 "ARAD" "CRAIVA" 2393 2262 43 88 1223 1092 43 88 2600 1377 1187 25 11 943 6 146 0 88 1 3 0 0 0 0 0 0
2 "ARAD" "DEZNA" 1146 1114 32 0 552 520 32 0 1235 683 540 8 4 309 5 170 0 51 0 5 0 0 0 0 0 0
2 "ARAD" "DIECI" 1318 1283 17 18 664 629 17 18 1425 761 648 13 3 423 0 169 0 54 0 2 0 0 0 0 0 0
2 "ARAD" "DOROBANÞI" 1399 1307 3 89 630 542 3 85 1540 910 619 8 3 37 522 29 0 8 21 2 0 0 0 0 0 0
2 "ARAD" "FÂNTÂNELE" 2956 2938 18 0 1012 994 18 0 3231 2219 990 14 8 617 39 195 0 124 5 10 0 0 0 0 0 0
2 "ARAD" "FELNAC" 2415 2401 13 1 834 820 13 1 2650 1816 814 14 6 378 6 248 0 168 2 12 0 0 0 0 0 0
2 "ARAD" "FRUMUªENI" 2278 2269 9 0 810 801 9 0 2497 1687 790 13 7 317 5 325 0 132 1 10 0 0 0 0 0 0
2 "ARAD" "GHIOROC" 3503 3490 13 0 1046 1033 13 0 3850 2804 1022 18 6 490 75 227 0 209 8 13 0 0 0 0 0 0
2 "ARAD" "GRÃNICERI" 2064 1997 13 54 609 549 13 47 2260 1651 587 13 9 430 3 64 0 84 3 3 0 0 0 0 0 0
2 "ARAD" "GURAHONÞ" 3452 3354 52 46 1747 1649 52 46 3724 1977 1707 20 20 1222 3 300 0 172 1 9 0 0 0 0 0 0
2 "ARAD" "HÃLMAGIU" 2647 2613 34 0 1028 994 34 0 2884 1856 1005 10 13 564 3 292 0 140 2 4 0 0 0 0 0 0
2 "ARAD" "HÃLMÃGEL" 1188 1166 18 4 538 516 18 4 1290 752 520 15 3 335 1 128 0 54 1 1 0 0 0 0 0 0
2 "ARAD" "HÃªMAª" 1090 1027 28 35 802 739 28 35 1170 368 767 15 20 343 2 395 0 20 0 7 0 0 0 0 0 0
2 "ARAD" "IGNEªTI" 631 609 22 0 327 305 22 0 780 453 320 4 3 146 3 142 0 27 0 2 0 0 0 0 0 0
2 "ARAD" "IRATOªU" 2132 2110 15 7 609 587 15 7 2341 1732 604 3 2 104 319 136 0 40 4 1 0 0 0 0 0 0
2 "ARAD" "LIVADA" 2769 2758 11 0 759 748 11 0 3032 2273 746 10 3 367 47 217 0 100 2 13 0 0 0 0 0 0
2 "ARAD" "MACEA" 5609 5583 26 0 1206 1180 26 0 6170 4964 1164 29 13 550 22 290 0 294 2 6 0 0 0 0 0 0
2 "ARAD" "MIªCA" 2690 2666 24 0 1178 1154 24 0 2930 1752 1131 34 13 198 526 75 0 318 11 3 0 0 0 0 0 0
2 "ARAD" "MONEASA" 874 854 6 14 478 458 6 14 950 472 464 10 4 260 2 173 0 14 10 5 0 0 0 0 0 0
2 "ARAD" "MUNICIPIUL ARAD" 153684 152920 714 50 57519 56756 714 49 168897 111375 56085 1181 248 26304 3772 18964 0 5595 394 1056 0 0 0 0 0 0
2 "ARAD" "OLARI" 1633 1620 13 0 467 454 13 0 1790 1323 458 4 5 179 65 73 0 115 21 5 0 0 0 0 0 0
2 "ARAD" "ORAª CHIªINEU-CRIª" 7016 6977 38 1 2482 2443 38 1 7680 5198 2407 63 12 1224 346 339 0 439 32 27 0 0 0 0 0 0
2 "ARAD" "ORAª CURTICI" 6858 6852 6 0 1496 1490 6 0 7560 6064 1458 25 13 696 65 461 0 217 3 16 0 0 0 0 0 0
2 "ARAD" "ORAª INEU" 8186 8128 42 16 3406 3349 41 16 8970 5564 3341 57 8 2165 63 800 0 283 11 19 0 0 0 0 0 0
2 "ARAD" "ORAª LIPOVA" 9735 9650 80 5 3559 3474 80 5 10660 7101 3489 56 14 2032 58 722 0 638 5 34 0 0 0 0 0 0
2 "ARAD" "ORAª NÃDLAC" 6807 6769 29 9 1950 1912 29 9 7474 5525 1904 33 12 646 39 683 0 507 4 25 0 0 0 0 0 0
2 "ARAD" "ORAª PÂNCOTA" 6345 6309 28 8 1419 1383 28 8 6970 5551 1391 18 10 611 41 491 0 226 9 13 0 0 0 0 0 0
2 "ARAD" "ORAª PECICA" 11508 11413 68 27 4250 4157 68 25 12620 8370 4144 76 30 1029 496 1811 0 735 52 21 0 0 0 0 0 0
2 "ARAD" "ORAª SÂNTANA" 12250 12173 77 0 3304 3227 77 0 13451 10147 3214 66 24 1925 16 473 0 759 14 27 0 0 0 0 0 0
2 "ARAD" "ORAª SEBIª" 5518 5450 56 12 2518 2450 56 12 6040 3522 2455 54 9 724 33 1526 0 145 11 16 0 0 0 0 0 0
2 "ARAD" "PÃULIª" 3499 3486 12 1 1114 1101 12 1 3840 2726 1093 16 5 571 9 303 0 191 2 17 0 0 0 0 0 0
2 "ARAD" "PEREGU MARE" 1571 1519 8 44 555 503 8 44 1720 1165 535 9 11 101 253 120 0 48 10 3 0 0 0 0 0 0
2 "ARAD" "PETRIª" 1215 1195 19 1 494 474 19 1 1320 826 483 8 3 269 1 121 0 88 1 3 0 0 0 0 0 0
2 "ARAD" "PILU" 1592 1584 8 0 473 465 8 0 1750 1277 462 7 4 246 9 102 0 98 5 2 0 0 0 0 0 0
2 "ARAD" "PLEªCUÞA" 1084 1069 15 0 498 483 15 0 1180 682 490 6 2 248 1 190 0 45 3 3 0 0 0 0 0 0
2 "ARAD" "SÃVÂRªIN" 2511 2466 27 18 1099 1054 27 18 2750 1651 1080 13 6 623 12 266 0 169 2 8 0 0 0 0 0 0
2 "ARAD" "SECUSIGIU" 4787 4752 35 0 1345 1310 35 0 5240 3895 1317 15 13 378 29 471 0 420 8 11 0 0 0 0 0 0
2 "ARAD" "SELEUª" 2470 2458 12 0 1184 1172 12 0 2710 1526 1168 12 4 959 11 113 0 78 0 7 0 0 0 0 0 0
2 "ARAD" "SEMLAC" 3281 3267 8 6 849 835 8 6 3610 2761 830 18 1 316 10 344 0 154 1 5 0 0 0 0 0 0
2 "ARAD" "SINTEA MARE" 2991 2954 24 13 1000 963 24 13 3280 2280 930 49 21 265 250 238 0 134 34 9 0 0 0 0 0 0
2 "ARAD" "SOCODOR" 1848 1781 6 61 934 867 6 61 2020 1086 916 3 15 658 14 106 0 123 10 5 0 0 0 0 0 0
2 "ARAD" "ªAGU" 3345 3329 16 0 1116 1100 16 0 3672 2556 1090 22 4 363 7 512 0 197 4 7 0 0 0 0 0 0
2 "ARAD" "ªEITIN" 2401 2400 1 0 782 781 1 0 2640 1858 760 13 9 350 1 248 0 161 0 0 0 0 0 0 0 0
2 "ARAD" "ªEPREUª" 2107 2102 2 3 643 638 2 3 2320 1677 625 12 6 308 6 184 0 120 1 6 0 0 0 0 0 0
2 "ARAD" "ªICULA" 3618 3606 12 0 943 931 12 0 3980 3037 930 12 1 545 4 218 0 157 5 1 0 0 0 0 0 0
2 "ARAD" "ªILINDIA" 716 696 0 20 306 286 0 20 790 484 298 6 2 89 14 159 0 35 0 1 0 0 0 0 0 0
2 "ARAD" "ªIMAND" 3392 3371 21 0 878 857 21 0 3720 2842 861 12 5 486 24 166 0 174 8 3 0 0 0 0 0 0
2 "ARAD" "ªIRIA" 7062 7011 50 1 1757 1706 50 1 7700 5943 1696 35 26 785 18 582 0 294 4 13 0 0 0 0 0 0
2 "ARAD" "ªIªTAROVÃÞ" 261 258 3 0 130 127 3 0 280 150 128 2 0 96 0 12 0 20 0 0 0 0 0 0 0 0
2 "ARAD" "ªOFRONEA" 2295 2275 13 7 840 820 13 7 2500 1660 820 9 11 280 227 213 0 72 22 6 0 0 0 0 0 0
2 "ARAD" "TAUÞ" 1514 1477 11 26 646 609 11 26 1660 1014 631 9 6 282 2 241 0 101 1 4 0 0 0 0 0 0
2 "ARAD" "TÂRNOVA" 4983 4806 48 129 2092 1920 48 124 5421 3329 2039 24 29 1189 10 598 0 227 2 13 0 0 0 0 0 0
2 "ARAD" "USUSÃU" 1045 1015 30 0 429 399 30 0 1125 696 416 8 5 177 11 75 0 150 1 2 0 0 0 0 0 0
2 "ARAD" "VÃRÃDIA DE MUREª" 1500 1476 24 0 600 576 24 0 1630 1030 590 5 5 326 4 164 0 88 1 7 0 0 0 0 0 0
2 "ARAD" "VÂRFURILE" 2514 2495 16 3 933 914 16 3 2750 1817 910 14 9 451 3 388 0 66 0 2 0 0 0 0 0 0
2 "ARAD" "VINGA" 5287 5255 29 3 1557 1525 29 3 5790 4233 1524 22 11 544 285 209 0 464 12 10 0 0 0 0 0 0
2 "ARAD" "VLADIMIRESCU" 10078 10015 61 2 2684 2621 61 2 11040 8356 2602 69 13 1258 29 612 0 643 8 52 0 0 0 0 0 0
2 "ARAD" "ZÃBRANI" 3821 3793 24 4 1199 1171 24 4 4181 2982 1174 17 8 555 9 381 0 220 1 8 0 0 0 0 0 0
2 "ARAD" "ZÃDÃRENI" 2215 2192 11 12 708 685 11 12 2438 1730 696 8 4 284 6 305 0 95 1 5 0 0 0 0 0 0
2 "ARAD" "ZÃRAND" 2050 2038 12 0 1100 1088 12 0 2260 1160 1073 21 6 469 13 178 0 400 12 1 0 0 0 0 0 0
2 "ARAD" "ZERIND" 1163 1157 6 0 343 337 6 0 1282 939 333 6 4 35 139 110 0 11 34 4 0 0 0 0 0 0
2 "ARAD" "ZIMANDU NOU" 4173 4060 73 40 1360 1248 73 39 4479 3119 1325 28 7 673 284 195 0 152 13 8 0 0 0 0 0 0
3 "ARGEª" "ALBEªTII DE ARGEª" 5026 4973 53 0 2145 2092 53 0 5500 3355 2024 71 50 1358 11 218 43 389 0 0 0 5 0 0 0 0
